
====== Plain FastTrack ======
./build/bench_ft 2>&1 | tee build/out_ft.txt
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800723316
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 12991800725101
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 8-6 | LINE: 34 | TS_NS: 12991800738014
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 8-6 | LINE: 36 | TS_NS: 12991800740251
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800753707
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 9-6 | LINE: 34 | TS_NS: 12991800756137
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-6 | LINE: 36 | TS_NS: 12991800759290
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800761503
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-6 | LINE: 36 | TS_NS: 12991800766866
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800769247
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 12991800780944
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-6 | LINE: 36 | TS_NS: 12991800792881
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-8 | LINE: 36 | TS_NS: 12991800798205
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 8-7 | LINE: 36 | TS_NS: 12991800804237
